Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CNSL,"Consolidated Communications Holdings Inc",10.39,-0.02,-0.19%,10.35,10.52,10.26,352100,01/28/19
CNST,"Constellation Pharmaceuticals Inc",6.4,-0.29,-4.33%,6.03,6.72,6.03,8200,01/28/19
CNTY,"Century Casinos IN",7.76,0.06,+0.78%,7.81,8.18,7.72,89800,01/28/19
CNX,"CNX Resources Corp",13.2,0.01,+0.08%,13,13.22,12.9,1759300,01/28/19
CNXN,"PC Connection Inc",31.93,-0.55,-1.69%,32.22,32.74,31.69,39100,01/28/19
COF,"Capital One Financial Corp",79.48,-0.14,-0.18%,78.74,79.55,78.44,3848600,01/28/19
COG,"Cabot Oil & Gas Corp",25.51,-0.4,-1.54%,25.64,25.72,25.34,5564900,01/28/19
COHR,"Coherent Inc",124.48,-0.51,-0.41%,122.66,129.34,121.16,466400,01/28/19
COHU,"Cohu Inc",17.47,-0.22,-1.24%,17.21,18.17,17.21,271500,01/28/19
COKE,"Coca Cola Bot Cons",211.36,-0.26,-0.12%,212,213.16,203.81,17300,01/28/19
COLB,"Columbia Banking Sys",36.18,-0.14,-0.39%,35.96,36.5,35.7,524400,01/28/19
COLD,"Americold Realty Trust",28.2,0.27,+0.97%,27.8,28.41,27.75,1225100,01/28/19
COLL,"Collegium Pharma",15.67,-0.23,-1.45%,15.76,16.44,15.47,284100,01/28/19
COLM,"Columbia Sprtswr",87.54,-0.11,-0.13%,86.8,88.19,86.72,228500,01/28/19
COMM,"Commscope Holding CO",20.63,1.59,+8.35%,19.17,20.69,19.16,2962700,01/28/19
CONE,"Cyrusone Inc",52.37,2.4,+4.80%,49.54,52.73,49.24,2179000,01/28/19
CONN,"Conn's Inc",18.52,-0.49,-2.58%,18.79,18.99,18.29,1103600,01/28/19
COO,"Cooper Companies",273.64,-1.97,-0.71%,274.07,275.25,271.94,184100,01/28/19
COOP,"Mr.Cooper Group Inc.",14.99,0.26,+1.77%,14.73,15.05,14.71,673900,01/28/19
COP,Conocophillips,65.35,-1.64,-2.45%,65.87,65.87,64.88,5942700,01/28/19
COR,"Coresite Realty Corp",96.08,1.88,+2.00%,93.65,96.39,93.47,409700,01/28/19
CORE,"Core Mark Holding",28.25,-0.45,-1.57%,28.45,28.76,28.21,139100,01/28/19
CORR,"Corenergy Infrastructure Trust Inc",35.75,0.42,+1.19%,35.22,35.95,35.22,63600,01/28/19
CORT,"Corcept Therapeutics",12.05,-0.24,-1.95%,12.15,12.52,11.9,3653500,01/28/19
COST,"Costco Wholesale",210.77,1.7,+0.81%,208.68,210.79,207.31,1999400,01/28/19
COTY,"Coty Inc",7.34,0.03,+0.41%,7.27,7.34,7.16,7752300,01/28/19
COUP,"Coupa Software Inc",79.91,-0.53,-0.66%,78.7,80.22,78,934100,01/28/19
COWN,"Cowen Group Inc",15.77,0.27,+1.74%,15.39,15.86,15.35,160600,01/28/19
CPA,"Copa Holdings S.A.",99.43,1.87,+1.92%,96.5,99.53,96.11,560100,01/28/19
CPB,"Campbell Soup Company",34.61,0.37,+1.08%,34.17,34.7,34.09,2196600,01/28/19
CPE,"Callon Petroleum Company",7.96,-0.25,-3.05%,7.96,7.98,7.78,4584200,01/28/19
CPF,"Central Pacific Financial CO",26.71,0.21,+0.79%,26.26,26.76,26.26,103200,01/28/19
CPK,"Chesapeake Utilities Corp",88.4,-0.83,-0.93%,89.13,89.66,87.15,50700,01/28/19
CPLG,"Corepoint Lodging Inc",12.03,-0.04,-0.33%,11.98,12.26,11.84,218500,01/28/19
CPRT,"Copart Inc",49.84,-0.24,-0.48%,49.67,50.01,49.38,1118100,01/28/19
CPRX,"Catalyst Pharm Inc",2.45,-0.09,-3.54%,2.5,2.51,2.42,407300,01/28/19
CPS,"Cooper Std Hldg Inc",74.65,-0.41,-0.55%,74.09,75.67,73.24,114600,01/28/19
CPSI,"Computer Programs",26.31,-0.61,-2.27%,26.75,26.76,26.23,40600,01/28/19
CPT,"Camden Property Trust",94.75,1.23,+1.32%,93.19,94.92,93.18,629600,01/28/19
CR,"Crane Company",79.14,-0.23,-0.29%,78.87,79.5,78.15,658200,01/28/19
CRAI,"Cra International",41.47,-0.44,-1.05%,41.9,41.97,40.91,17600,01/28/19
CRAY,"Cray Inc",22.09,-0.47,-2.08%,22.14,22.41,21.9,126500,01/28/19
CRBP,"Corbus Pharma",6.86,-0.17,-2.42%,6.96,7.13,6.74,1006800,01/28/19
CRC,"California Resources Corporatio",19.28,-1.04,-5.12%,19.7,19.7,18.74,1779800,01/28/19
CRCM,"Care.com Inc",23.25,-0.56,-2.35%,23.52,23.72,22.96,262900,01/28/19
CRD.B,"Crawford CO Cl B",9.32,-0.18,-1.89%,9.43,9.48,9.32,8000,01/28/19
CREE,"Cree Inc",49.32,-1.1,-2.18%,49.16,49.73,48.29,1322300,01/28/19
CRI,"Carter's Inc",83.52,0.54,+0.65%,82.04,83.59,81.55,516500,01/28/19
CRL,"Charles River Laboratories Intl",118.58,-0.18,-0.15%,117.33,118.63,116.9,369500,01/28/19
CRM,"Salesforce.com Inc",147.33,-2.41,-1.61%,148.17,148.2,146.1,4054700,01/28/19
CRMT,"America's Car-Mart",70.47,-1.01,-1.41%,70.73,71.44,70,38800,01/28/19
CRNX,"Crinetics Pharmaceuticals Inc",24.06,-0.22,-0.91%,24.31,24.72,23.08,33200,01/28/19
CROX,"Crocs Inc",28.89,-0.01,-0.03%,28.7,28.94,28.36,1080100,01/28/19
CRR,"Carbo Ceramics",4.47,-0.18,-3.87%,4.5,4.55,4.39,278800,01/28/19
CRS,"Carpenter Technology Corp",43.76,-0.15,-0.34%,43.45,43.81,42.71,217900,01/28/19
CRUS,"Cirrus Logic Inc",38.45,0.25,+0.65%,37.3,38.75,37.02,790200,01/28/19
CRVL,"Corvel Cp",62.23,-1.27,-2.00%,63.01,63.16,61.63,19300,01/28/19
CRVS,"Corvus Pharma Com",3.88,-0.11,-2.76%,3.97,4.09,3.79,77900,01/28/19
CRY,Cryolife,26.99,-0.98,-3.50%,27.72,27.88,26.85,133900,01/28/19
CRZO,"Carrizo Oil & Gas",11.16,-0.18,-1.59%,11.05,11.33,10.94,3241200,01/28/19
CSCO,"Cisco Systems Inc",45.75,-0.38,-0.82%,45.73,45.77,45.23,18297000,01/28/19
CSFL,"Centerstate Bank Corp",24.53,0.31,+1.28%,24.02,24.66,24.01,577900,01/28/19
CSGP,"Costar Group Inc",382.43,-1.58,-0.41%,379.34,382.86,375.56,134100,01/28/19
CSGS,"C S G Sys Intl",35.23,-0.73,-2.03%,35.82,35.82,35.15,61300,01/28/19
CSII,"Cardiovascular Syst",28.97,-0.27,-0.92%,29,29.8,28.59,137700,01/28/19
CSL,"Carlisle Companies Inc",108.35,0.11,+0.10%,107.46,108.68,107.05,263100,01/28/19
CSLT,"Castlight Health Inc",2.62,0.01,+0.38%,2.61,2.65,2.54,205600,01/28/19
CSOD,"Cornerstone Ondemand",56.16,0.29,+0.52%,55.19,56.22,54.6,346800,01/28/19
CSTE,"Caesarstone Sdot-Yam",15.09,0.27,+1.82%,14.67,15.12,14.67,63100,01/28/19
CSTR,"Capstar Financial Holdings Inc",15.92,0.38,+2.45%,15.49,15.95,15.49,19400,01/28/19
CSU,"Capital Senior Living Corp",7.2,-0.15,-2.04%,7.21,7.45,7.14,112600,01/28/19
CSV,"Carriage Services",19.68,0.25,+1.29%,19.4,19.75,19.4,83000,01/28/19
CSWI,"Csw Industrials Inc",50.68,-0.55,-1.07%,50.93,51.43,49.69,44800,01/28/19
CSX,"CSX Corp",65.61,-0.59,-0.89%,65.38,65.9,65.02,4275500,01/28/19
CTAS,"Cintas Corp",182.99,-1.99,-1.08%,183.28,183.58,181.17,383600,01/28/19
CTB,"Cooper Tire & Rubber Company",34.18,0.07,+0.21%,33.87,34.2,33.58,327700,01/28/19
CTBI,"Community TR Bancp",41.22,-0.44,-1.06%,41.43,41.6,40.6,35200,01/28/19
CTIC,"Cti Biopharm Corp",1.03,-0.05,-4.63%,1.09,1.11,1.01,407700,01/28/19
CTL,Centurylink,15.09,0.1,+0.67%,14.91,15.29,14.81,14333800,01/28/19
CTLT,"Catalent Inc",36.49,0.49,+1.36%,35.61,36.62,35.53,1037900,01/28/19
CTMX,"Cytomx Thera",15.99,-0.86,-5.10%,16.55,16.65,15.66,498200,01/28/19
CTO,"Consolidated-Tomoka Land CO",59.52,-0.47,-0.78%,59.5,60.09,58.92,9000,01/28/19
CTRE,"Caretrust REIT Inc",21.38,0.23,+1.09%,21.13,21.47,21.05,1163500,01/28/19
CTRL,"Control4 Corp",19.22,-0.18,-0.93%,19.11,19.55,19,163900,01/28/19
CTRN,"Citi Trends Inc",21,0,0.00%,20.83,21.07,20.63,41000,01/28/19
CTS,"Cts Corp",27.88,-0.48,-1.69%,28.07,28.62,27.77,114900,01/28/19
CTSH,"Cognizant Tech Sol",68.95,-1.07,-1.53%,69.27,69.38,68.34,2771000,01/28/19
CTSO,"Cytosorbents Cor",7.04,-0.18,-2.49%,7.18,7.18,6.88,255500,01/28/19
CTT,"Catchmark Timber Trust Inc",8.89,0.04,+0.45%,8.85,8.92,8.7,246400,01/28/19
CTWS,"Conn Water Svcs IN",66.07,-1.03,-1.54%,67.02,67.39,65.78,18900,01/28/19
CTXS,"Citrix Systems Inc",101.98,-0.67,-0.65%,101.95,102.07,100.95,1951700,01/28/19
CUB,"Cubic Corp",63.84,-0.14,-0.22%,63.35,63.96,62.99,104800,01/28/19
CUBE,Cubesmart,29.91,0.43,+1.46%,29.45,30,29.3,1361200,01/28/19
CUBI,"Customers Bancorp",20.17,0.14,+0.70%,19.9,20.25,19.89,319600,01/28/19
CUE,"Cue Biopharma Inc",5.19,-0.12,-2.26%,5.24,5.35,5.03,66000,01/28/19
CULP,"Culp Inc",18.45,-0.02,-0.11%,18.3,18.85,18.06,20600,01/28/19
CURO,"Curo Group Holdings Corp",12.24,-0.02,-0.16%,12.09,12.34,11.81,161000,01/28/19
CUTR,"Cutera Inc",13.94,0.48,+3.57%,13.36,14.13,13.3,203300,01/28/19
CUZ,"Cousins Properties Inc",8.69,0.08,+0.93%,8.58,8.69,8.54,6381600,01/28/19
CVA,"Covanta Holding Corp",15.62,-0.21,-1.33%,15.72,15.9,15.46,691800,01/28/19
CVBF,"Cvb Financial Corp",22.27,0.18,+0.81%,22.09,22.29,21.95,473100,01/28/19
CVCO,"Cavco Inds Inc",151.41,-1.23,-0.81%,150.57,153.71,149.58,87100,01/28/19
CVCY,"Central Vly Cmty Bcp",20.06,0.07,+0.35%,19.78,20.15,19.78,13800,01/28/19
CVGI,"Commercial Vehicle G",7.11,-0.02,-0.28%,7.07,7.16,7,129700,01/28/19
CVGW,"Calavo Growers Inc",82.17,-0.77,-0.93%,82.45,83.4,82,141800,01/28/19
CVI,"Cvr Energy Inc",38.33,-0.27,-0.70%,38.3,38.72,37.92,575500,01/28/19
CVIA,"Covia Holdings Corp",4.99,-0.1,-1.96%,4.99,5.15,4.86,192300,01/28/19
CVLT,"Commvault Systems",61.57,-0.71,-1.14%,61.85,62.14,60.58,1090300,01/28/19
CVLY,"Codorus Valley Bncp",21.87,-0.48,-2.15%,22.24,22.3,21.87,8400,01/28/19
CVNA,"Carvana Co. Class A",39.71,-0.09,-0.23%,39.3,39.95,38.3,850300,01/28/19
CVS,"CVS Corp",65.24,-0.21,-0.32%,65.11,65.26,63.58,8641900,01/28/19
CVTI,"Covenant Transportn",23.67,-0.17,-0.71%,23.78,23.78,23.24,165400,01/28/19
CVX,"Chevron Corp",112.17,-1.05,-0.93%,111.91,112.57,111.07,6886500,01/28/19
CW,"Curtiss-Wright Corp",112.28,0.22,+0.20%,111.25,112.92,110.92,235300,01/28/19
CWBR,"Cohbar Inc",3.23,0.15,+4.87%,3.08,3.25,3.04,37100,01/28/19
CWCO,"Cons Water CO Inc",12.7,-0.07,-0.55%,12.76,12.91,12.45,42200,01/28/19
CWEN,"Clearway Energy Inc. Cl. C",15.25,0.11,+0.73%,15.09,15.8,15.05,1233200,01/28/19
CWE.A,"Clearway Energy Inc. Cl. A",14.76,-0.03,-0.20%,14.73,15.22,14.7,306100,01/28/19
CWH,"Camping World Holdings Inc",14.54,-0.04,-0.27%,14.5,14.9,14.11,486700,01/28/19
CWK,"Cushman & Wakefield Plc",15.58,-0.6,-3.71%,16.02,16.08,15.54,503900,01/28/19
