ACT Symbol,Company Name,Security Type,Weight,Value,Industry
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.29,"456,749,060.40",Information Technology
BDX,BECTON DICKINSON,Equity,0.28,"456,207,712.56",Health Care
BIIB,BIOGEN INC,Equity,0.28,"446,527,462.21",Health Care
INTU,INTUIT INC,Equity,0.28,"442,980,366.96",Information Technology
QCOM,QUALCOMM INC,Equity,0.27,"438,593,141.76",Information Technology
DUK,DUKE ENERGY CORP,Equity,0.27,"436,100,363.10",Utilities
CME,CME GROUP INC CLASS A,Equity,0.27,"433,491,699.56",Financials
ISRG,INTUITIVE SURGICAL INC,Equity,0.27,"428,747,208.18",Health Care
CELG,CELGENE CORP,Equity,0.27,"424,692,732.76",Health Care
TJX,TJX INC,Equity,0.26,"424,434,589.40",Consumer Discretionary
CB,CHUBB LTD,Equity,0.26,"422,022,838.33",Financials
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.26,"420,368,012.16",Communication
SLB,SCHLUMBERGER NV,Equity,0.26,"418,430,535.24",Energy
CSX,CSX CORP,Equity,0.25,"400,041,233.64",Industrials
SYK,STRYKER CORP,Equity,0.25,"399,161,572.20",Health Care
CL,COLGATE-PALMOLIVE,Equity,0.25,"395,409,038.10",Consumer Staples
D,DOMINION ENERGY INC,Equity,0.24,"390,504,137.65",Utilities
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,0.24,"390,305,997.90",Financials
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.24,"386,844,874.02",Real Estate
WBA,WALGREEN BOOTS ALLIANCE INC,Equity,0.24,"385,710,881.02",Consumer Staples
BSX,BOSTON SCIENTIFIC CORP,Equity,0.24,"381,939,737.12",Health Care
SCHW,CHARLES SCHWAB CORP,Equity,0.24,"377,424,744.75",Financials
EOG,EOG RESOURCES INC,Equity,0.24,"376,850,660.73",Energy
MS,MORGAN STANLEY,Equity,0.23,"372,138,863.46",Financials
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.23,"369,069,918.91",Communication
DE,DEERE,Equity,0.23,"363,978,184.92",Industrials
RTN,RAYTHEON,Equity,0.23,"361,896,878.42",Industrials
BLK,BLACKROCK INC,Equity,0.23,"360,763,474.00",Financials
GM,GENERAL MOTORS,Equity,0.22,"357,542,432.04",Consumer Discretionary
SO,SOUTHERN,Equity,0.22,"353,006,459.16",Utilities
SPGI,S&P GLOBAL INC,Equity,0.22,"344,510,642.56",Financials
NOC,NORTHROP GRUMMAN CORP,Equity,0.21,"341,974,396.61",Industrials
NSC,NORFOLK SOUTHERN CORP,Equity,0.21,"339,487,913.70",Industrials
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.21,"339,076,143.96",Energy
