ACT Symbol,Company Name,Security Type,Weight,Value,Industry
CE,CELANESE CORP,Equity,0.06,"94,322,897.76",Materials
WCG,WELLCARE HEALTHCARE PLANS INC,Equity,0.06,"94,081,724.30",Health Care
DVN,DEVON ENERGY CORP,Equity,0.06,"93,980,181.80",Energy
PFG,PRINCIPAL FINANCIAL GROUP INC,Equity,0.06,"93,290,648.23",Financials
BHGE,BAKER HUGHES CLASS A,Equity,0.06,"92,513,637.90",Energy
DOV,DOVER CORP,Equity,0.06,"91,587,482.14",Industrials
CTXS,CITRIX SYSTEMS INC,Equity,0.06,"91,532,551.16",Information Technology
ABC,AMERISOURCEBERGEN CORP,Equity,0.06,"91,490,505.47",Health Care
XYL,XYLEM INC,Equity,0.06,"91,059,276.00",Industrials
EFX,EQUIFAX INC,Equity,0.06,"90,739,022.40",Industrials
TXT,TEXTRON INC,Equity,0.06,"90,506,251.50",Industrials
LNC,LINCOLN NATIONAL CORP,Equity,0.06,"90,143,969.85",Financials
SIVB,SVB FINANCIAL GROUP,Equity,0.06,"90,051,732.24",Financials
TFX,TELEFLEX INC,Equity,0.06,"89,418,946.38",Health Care
L,LOEWS CORP,Equity,0.06,"89,061,587.37",Financials
CINF,CINCINNATI FINANCIAL CORP,Equity,0.06,"88,795,834.52",Financials
IT,GARTNER INC,Equity,0.06,"88,565,100.90",Information Technology
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.05,"88,056,182.15",Materials
WYNN,WYNN RESORTS LTD,Equity,0.05,"87,797,409.50",Consumer Discretionary
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Equity,0.05,"87,760,936.80",Industrials
CTL,CENTURYLINK INC,Equity,0.05,"86,987,994.24",Communication
APA,APACHE CORP,Equity,0.05,"86,494,479.33",Energy
FTNT,FORTINET INC,Equity,0.05,"86,393,282.91",Information Technology
CHRW,CH ROBINSON WORLDWIDE INC,Equity,0.05,"85,658,935.02",Industrials
HOLX,HOLOGIC INC,Equity,0.05,"84,759,465.84",Health Care
ETFC,E TRADE FINANCIAL CORP,Equity,0.05,"84,499,031.50",Financials
UDR,UDR REIT INC,Equity,0.05,"84,220,147.44",Real Estate
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Equity,0.05,"84,187,958.85",Consumer Discretionary
NRG,NRG ENERGY INC,Equity,0.05,"83,389,735.28",Utilities
EXR,EXTRA SPACE STORAGE REIT INC,Equity,0.05,"82,479,298.08",Real Estate
FMC,FMC CORP,Equity,0.05,"82,141,262.95",Materials
MAA,MID AMERICA APARTMENT COMMUNITIES,Equity,0.05,"81,955,170.00",Real Estate
STX,SEAGATE TECHNOLOGY PLC,Equity,0.05,"81,889,915.68",Information Technology
CPRT,COPART INC,Equity,0.05,"81,440,864.43",Industrials
VAR,VARIAN MEDICAL SYSTEMS INC,Equity,0.05,"81,197,004.24",Health Care
DGX,QUEST DIAGNOSTICS INC,Equity,0.05,"81,188,747.80",Health Care
VNO,VORNADO REALTY TRUST REIT,Equity,0.05,"81,171,984.76",Real Estate
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Equity,0.05,"81,100,469.16",Information Technology
TSCO,TRACTOR SUPPLY,Equity,0.05,"80,814,106.52",Consumer Discretionary
HRL,HORMEL FOODS CORP,Equity,0.05,"80,608,666.32",Consumer Staples
MLM,MARTIN MARIETTA MATERIALS INC,Equity,0.05,"79,834,770.00",Materials
EMN,EASTMAN CHEMICAL,Equity,0.05,"79,579,768.50",Materials
AAP,ADVANCE AUTO PARTS INC,Equity,0.05,"79,557,076.35",Consumer Discretionary
TAP,MOLSON COORS BREWING CLASS B,Equity,0.05,"79,334,683.34",Consumer Staples
ATO,ATMOS ENERGY CORP,Equity,0.05,"79,192,745.16",Utilities
SJM,JM SMUCKER,Equity,0.05,"79,105,673.02",Consumer Staples
AES,AES CORP,Equity,0.05,"78,638,931.39",Utilities
MOS,MOSAIC,Equity,0.05,"78,423,463.30",Materials
MAS,MASCO CORP,Equity,0.05,"78,238,077.83",Industrials
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Equity,0.05,"78,085,463.56",Health Care
CAG,CONAGRA BRANDS INC,Equity,0.05,"77,330,425.48",Consumer Staples
KSU,KANSAS CITY SOUTHERN,Equity,0.05,"77,026,251.15",Industrials
AKAM,AKAMAI TECHNOLOGIES INC,Equity,0.05,"76,968,324.86",Information Technology
REG,REGENCY CENTERS REIT CORP,Equity,0.05,"76,062,939.84",Real Estate
NBL,NOBLE ENERGY INC,Equity,0.05,"75,659,759.64",Energy
NOV,NATIONAL OILWELL VARCO INC,Equity,0.05,"75,283,006.72",Energy
URI,UNITED RENTALS INC,Equity,0.05,"75,256,252.72",Industrials
CBOE,CBOE GLOBAL MARKETS INC,Equity,0.05,"74,761,251.60",Financials
LNT,ALLIANT ENERGY CORP,Equity,0.05,"74,095,472.40",Utilities
DRE,DUKE REALTY REIT CORP,Equity,0.05,"73,530,481.65",Real Estate
RJF,RAYMOND JAMES INC,Equity,0.05,"73,086,088.24",Financials
PNW,PINNACLE WEST CORP,Equity,0.05,"72,183,601.92",Utilities
PKI,PERKINELMER INC,Equity,0.04,"72,077,842.66",Health Care
FFIV,F5 NETWORKS INC,Equity,0.04,"72,039,571.20",Information Technology
KMX,CARMAX INC,Equity,0.04,"71,430,298.44",Consumer Discretionary
KSS,KOHLS CORP,Equity,0.04,"71,380,279.22",Consumer Discretionary
COG,CABOT OIL & GAS CORP,Equity,0.04,"71,099,922.22",Energy
TPR,TAPESTRY INC,Equity,0.04,"70,910,815.86",Consumer Discretionary
JKHY,JACK HENRY ANS ASSOCIATES INC,Equity,0.04,"70,700,743.44",Information Technology
LW,LAMB WESTON HOLDINGS INC,Equity,0.04,"70,251,769.50",Consumer Staples
VIAB,VIACOM INC CLASS B,Equity,0.04,"70,146,605.76",Communication
IRM,IRON MOUNTAIN INC,Equity,0.04,"69,429,886.92",Real Estate
WRK,WESTROCK,Equity,0.04,"68,755,722.42",Materials
CF,CF INDUSTRIES HOLDINGS INC,Equity,0.04,"68,740,562.28",Materials
NDAQ,NASDAQ INC,Equity,0.04,"68,467,575.12",Financials
GRMN,GARMIN LTD,Equity,0.04,"68,397,595.11",Consumer Discretionary
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Equity,0.04,"68,278,777.20",Real Estate
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Equity,0.04,"67,600,016.09",Communication
DISCK,DISCOVERY INC SERIES C,Equity,0.04,"67,444,643.91",Communication
TIF,TIFFANY,Equity,0.04,"67,147,615.80",Consumer Discretionary
HAS,HASBRO INC,Equity,0.04,"66,950,828.00",Consumer Discretionary
ZION,ZIONS BANCORPORATION,Equity,0.04,"66,587,930.36",Financials
BEN,FRANKLIN RESOURCES INC,Equity,0.04,"66,347,539.41",Financials
NI,NISOURCE INC,Equity,0.04,"65,922,464.88",Utilities
FTI,TECHNIPFMC PLC,Equity,0.04,"65,835,881.22",Energy
JNPR,JUNIPER NETWORKS INC,Equity,0.04,"65,456,269.45",Information Technology
HII,HUNTINGTON INGALLS INDUSTRIES INC,Equity,0.04,"64,646,022.27",Industrials
ALB,ALBEMARLE CORP,Equity,0.04,"64,418,816.28",Materials
XRAY,DENTSPLY SIRONA INC,Equity,0.04,"63,543,657.33",Health Care
JBHT,JB HUNT TRANSPORT SERVICES INC,Equity,0.04,"63,541,626.93",Industrials
PKG,PACKAGING CORP OF AMERICA,Equity,0.04,"63,369,430.51",Materials
AVY,AVERY DENNISON CORP,Equity,0.04,"63,253,298.96",Materials
WHR,WHIRLPOOL CORP,Equity,0.04,"63,137,172.52",Consumer Discretionary
RE,EVEREST RE GROUP LTD,Equity,0.04,"62,973,344.04",Financials
NLSN,NIELSEN HOLDINGS PLC,Equity,0.04,"61,838,312.40",Industrials
IPG,INTERPUBLIC GROUP OF COMPANIES INC,Equity,0.04,"61,754,821.25",Communication
HSIC,HENRY SCHEIN INC,Equity,0.04,"61,269,409.26",Health Care
SNA,SNAP ON INC,Equity,0.04,"60,888,747.96",Industrials
JEC,JACOBS ENGINEERING GROUP INC,Equity,0.04,"60,434,117.45",Industrials
HFC,HOLLYFRONTIER CORP,Equity,0.04,"59,821,300.96",Energy
PVH,PVH CORP,Equity,0.04,"59,584,174.84",Consumer Discretionary
BWA,BORGWARNER INC,Equity,0.04,"59,264,792.00",Consumer Discretionary
LKQ,LKQ CORP,Equity,0.04,"59,252,806.50",Consumer Discretionary
MHK,MOHAWK INDUSTRIES INC,Equity,0.04,"59,205,857.00",Consumer Discretionary
ALLE,ALLEGION PLC,Equity,0.04,"58,861,588.50",Industrials
QRVO,QUORVO INC,Equity,0.04,"57,367,410.60",Information Technology
TMK,TORCHMARK CORP,Equity,0.04,"56,885,394.28",Financials
UNM,UNUM,Equity,0.04,"56,668,848.65",Financials
RHI,ROBERT HALF,Equity,0.03,"55,592,036.16",Industrials
ADS,ALLIANCE DATA SYSTEMS CORP,Equity,0.03,"55,306,172.52",Information Technology
BFB,BROWN FORMAN CORP CLASS B,Equity,0.03,"54,621,874.56",Consumer Staples
IVZ,INVESCO LTD,Equity,0.03,"54,493,229.85",Financials
ARNC,ARCONIC INC,Equity,0.03,"54,442,154.08",Industrials
SLG,SL GREEN REALTY REIT CORP,Equity,0.03,"53,072,137.98",Real Estate
WU,WESTERN UNION,Equity,0.03,"52,903,696.11",Information Technology
AIV,APARTMENT INVESTMENT AND MANAGEMEN,Equity,0.03,"52,374,522.87",Real Estate
DISH,DISH NETWORK CORP CLASS A,Equity,0.03,"52,235,885.34",Communication
ALK,ALASKA AIR GROUP INC,Equity,0.03,"51,111,340.80",Industrials
M,MACYS INC,Equity,0.03,"50,787,363.78",Consumer Discretionary
AOS,A O SMITH CORP,Equity,0.03,"50,742,069.26",Industrials
KIM,KIMCO REALTY REIT CORP,Equity,0.03,"50,504,259.60",Real Estate
FLIR,FLIR SYSTEMS INC,Equity,0.03,"49,534,735.00",Information Technology
XEC,CIMAREX ENERGY,Equity,0.03,"49,387,560.40",Energy
NWL,NEWELL BRANDS INC,Equity,0.03,"49,364,287.14",Consumer Discretionary
DVA,DAVITA INC,Equity,0.03,"49,205,803.30",Health Care
PHM,PULTEGROUP INC,Equity,0.03,"49,144,827.46",Consumer Discretionary
RL,RALPH LAUREN CORP CLASS A,Equity,0.03,"47,377,242.64",Consumer Discretionary
NKTR,NEKTAR THERAPEUTICS,Equity,0.03,"47,083,060.35",Health Care
PNR,PENTAIR,Equity,0.03,"46,812,440.85",Industrials
FBHS,FORTUNE BRANDS HOME AND SECURITY I,Equity,0.03,"46,722,584.30",Industrials
FL,FOOT LOCKER INC,Equity,0.03,"46,677,663.48",Consumer Discretionary
HBI,HANESBRANDS INC,Equity,0.03,"46,600,297.40",Consumer Discretionary
PBCT,PEOPLES UNITED FINANCIAL INC,Equity,0.03,"46,502,605.19",Financials
SEE,SEALED AIR CORP,Equity,0.03,"45,562,147.95",Materials
CPRI,CAPRI HOLDINGS LTD,Equity,0.03,"44,395,935.04",Consumer Discretionary
XRX,XEROX CORP,Equity,0.03,"44,170,330.22",Information Technology
CPB,CAMPBELL SOUP,Equity,0.03,"43,748,240.27",Consumer Staples
PRGO,PERRIGO PLC,Equity,0.03,"42,810,901.22",Health Care
LB,L BRANDS INC,Equity,0.03,"42,072,888.00",Consumer Discretionary
HOG,HARLEY DAVIDSON INC,Equity,0.03,"40,887,538.23",Consumer Discretionary
LEG,LEGGETT & PLATT INC,Equity,0.03,"40,827,877.92",Consumer Discretionary
FLS,FLOWSERVE CORP,Equity,0.03,"40,151,062.56",Industrials
ROL,ROLLINS INC,Equity,0.02,"39,399,796.62",Industrials
HP,HELMERICH & PAYNE INC,Equity,0.02,"39,376,988.70",Energy
TRIP,TRIPADVISOR INC,Equity,0.02,"39,267,595.84",Communication
AMG,AFFILIATED MANAGERS GROUP INC,Equity,0.02,"37,923,111.52",Financials
IPGP,IPG PHOTONICS CORP,Equity,0.02,"37,797,555.18",Information Technology
FLR,FLUOR CORP,Equity,0.02,"36,752,896.84",Industrials
JEF,JEFFERIES FINANCIAL GROUP INC,Equity,0.02,"36,656,724.72",Financials
PWR,QUANTA SERVICES INC,Equity,0.02,"36,438,084.48",Industrials
GPS,GAP INC,Equity,0.02,"34,929,253.88",Consumer Discretionary
HRB,H&R BLOCK INC,Equity,0.02,"34,815,554.40",Consumer Discretionary
BHF,BRIGHTHOUSE FINANCIAL INC,Equity,0.02,"34,787,573.88",Financials
COTY,COTY INC CLASS A,Equity,0.02,"34,580,755.30",Consumer Staples
AIZ,ASSURANT INC,Equity,0.02,"34,226,745.30",Financials
NWSA,NEWS CORP CLASS A,Equity,0.02,"33,764,432.68",Communication
JWN,NORDSTROM INC,Equity,0.02,"33,167,360.76",Consumer Discretionary
MAT,MATTEL INC,Equity,0.02,"32,704,139.16",Consumer Discretionary
MAC,MACERICH REIT,Equity,0.02,"32,263,985.44",Real Estate
DISCA,DISCOVERY INC SERIES A,Equity,0.02,"31,277,250.12",Communication
GT,GOODYEAR TIRE & RUBBER,Equity,0.02,"30,587,086.80",Consumer Discretionary
UAA,UNDER ARMOUR INC CLASS A,Equity,0.02,"27,473,568.08",Consumer Discretionary
UA,UNDER ARMOUR INC CLASS C,Equity,0.02,"25,685,475.44",Consumer Discretionary
UBFUT,CASH COLLATERAL USD UBFUT,Cash Collateral and Margins,0.01,"22,676,800.00",Cash and/or Derivatives
NWS,NEWS CORP CLASS B,Equity,0.01,"9,782,242.78",Communication
-,APARTMENT INVESTMENT DUMMY STOCK D,Equity,0,"1,666,805.14",Real Estate
ESH9,S&P500 EMINI MAR 19,Futures,0,"517,488,480.00",Cash and/or Derivatives
